Date,Place,Value
2024-01-01T17:45:00Z,Fjederholt Å - A18,40.836000000000006
2024-01-01T17:30:00Z,Fjederholt Å - A18,40.835
2024-01-01T17:15:00Z,Fjederholt Å - A18,40.833000000000006
2024-01-01T17:00:00Z,Fjederholt Å - A18,40.827000000000005
2024-01-01T16:45:00Z,Fjederholt Å - A18,40.831
2024-01-01T16:30:00Z,Fjederholt Å - A18,40.827000000000005
2024-01-01T16:15:00Z,Fjederholt Å - A18,40.823
2024-01-01T16:00:00Z,Fjederholt Å - A18,40.825
2024-01-01T15:45:00Z,Fjederholt Å - A18,40.822
2024-01-01T15:30:00Z,Fjederholt Å - A18,40.816
2024-01-01T15:15:00Z,Fjederholt Å - A18,40.821000000000005
2024-01-01T15:00:00Z,Fjederholt Å - A18,40.816
2024-01-01T14:45:00Z,Fjederholt Å - A18,40.823
2024-01-01T14:30:00Z,Fjederholt Å - A18,40.817
2024-01-01T14:15:00Z,Fjederholt Å - A18,40.814
2024-01-01T14:00:00Z,Fjederholt Å - A18,40.814
2024-01-01T13:45:00Z,Fjederholt Å - A18,40.814
2024-01-01T13:30:00Z,Fjederholt Å - A18,40.814
2024-01-01T13:15:00Z,Fjederholt Å - A18,40.816
2024-01-01T13:00:00Z,Fjederholt Å - A18,40.813
2024-01-01T12:45:00Z,Fjederholt Å - A18,40.812000000000005
2024-01-01T12:30:00Z,Fjederholt Å - A18,40.807
2024-01-01T12:15:00Z,Fjederholt Å - A18,40.809000000000005
2024-01-01T12:00:00Z,Fjederholt Å - A18,40.811
2024-01-01T11:45:00Z,Fjederholt Å - A18,40.809000000000005
2024-01-01T11:30:00Z,Fjederholt Å - A18,40.81
2024-01-01T11:15:00Z,Fjederholt Å - A18,40.808
2024-01-01T11:00:00Z,Fjederholt Å - A18,40.808
2024-01-01T10:45:00Z,Fjederholt Å - A18,40.81
2024-01-01T10:30:00Z,Fjederholt Å - A18,40.811
2024-01-01T10:15:00Z,Fjederholt Å - A18,40.808
2024-01-01T10:00:00Z,Fjederholt Å - A18,40.813
2024-01-01T09:45:00Z,Fjederholt Å - A18,40.808
2024-01-01T09:30:00Z,Fjederholt Å - A18,40.809000000000005
2024-01-01T09:15:00Z,Fjederholt Å - A18,40.814
2024-01-01T09:00:00Z,Fjederholt Å - A18,40.809000000000005
2024-01-01T08:45:00Z,Fjederholt Å - A18,40.808
2024-01-01T08:30:00Z,Fjederholt Å - A18,40.814
2024-01-01T08:15:00Z,Fjederholt Å - A18,40.812000000000005
2024-01-01T08:00:00Z,Fjederholt Å - A18,40.806000000000004
2024-01-01T07:45:00Z,Fjederholt Å - A18,40.811
2024-01-01T07:30:00Z,Fjederholt Å - A18,40.809000000000005
2024-01-01T07:15:00Z,Fjederholt Å - A18,40.809000000000005
2024-01-01T07:00:00Z,Fjederholt Å - A18,40.809000000000005
2024-01-01T06:45:00Z,Fjederholt Å - A18,40.811
2024-01-01T06:30:00Z,Fjederholt Å - A18,40.812000000000005
2024-01-01T06:15:00Z,Fjederholt Å - A18,40.815000000000005
2024-01-01T06:00:00Z,Fjederholt Å - A18,40.817
2024-01-01T05:45:00Z,Fjederholt Å - A18,40.812000000000005
2024-01-01T05:30:00Z,Fjederholt Å - A18,40.82
2024-01-01T05:15:00Z,Fjederholt Å - A18,40.819
2024-01-01T05:00:00Z,Fjederholt Å - A18,40.817
2024-01-01T04:45:00Z,Fjederholt Å - A18,40.82
2024-01-01T04:30:00Z,Fjederholt Å - A18,40.822
2024-01-01T04:15:00Z,Fjederholt Å - A18,40.822
2024-01-01T04:00:00Z,Fjederholt Å - A18,40.822
2024-01-01T03:45:00Z,Fjederholt Å - A18,40.819
2024-01-01T03:30:00Z,Fjederholt Å - A18,40.824000000000005
2024-01-01T03:15:00Z,Fjederholt Å - A18,40.821000000000005
2024-01-01T03:00:00Z,Fjederholt Å - A18,40.831
2024-01-01T02:45:00Z,Fjederholt Å - A18,40.829
2024-01-01T02:30:00Z,Fjederholt Å - A18,40.833000000000006
2024-01-01T02:15:00Z,Fjederholt Å - A18,40.834
