Length,Period,Avg,Lower,Upper,MonthN
117,Sep,14.86,11.753,18.79,9
117,Oct,15.276,11.93,19.561,10
118,Apr,16.851,13.343,21.281,4
118,May,15.501,12.267,19.587,5
118,Jun,14.49,11.461,18.319,6
118,Jul,15.281,12.072,19.343,7
118,Aug,15.028,11.894,18.988,8
118,Sep,15.253,12.062,19.287,9
118,Oct,15.685,12.244,20.093,10
119,Apr,17.312,13.708,21.865,4
119,May,15.879,12.565,20.066,5
119,Jun,14.824,11.724,18.743,6
119,Jul,15.662,12.371,19.828,7
119,Aug,15.41,12.196,19.471,8
119,Sep,15.652,12.377,19.794,9
119,Oct,16.1,12.563,20.634,10
120,Apr,17.783,14.079,22.46,4
120,May,16.262,12.868,20.552,5
120,Jun,15.163,11.991,19.173,6
120,Jul,16.049,12.675,20.32,7
120,Aug,15.798,12.502,19.963,8
120,Sep,16.058,12.698,20.309,9
120,Oct,16.523,12.887,21.186,10
121,Apr,18.261,14.457,23.066,4
121,May,16.652,13.175,21.046,5
121,Jun,15.506,12.262,19.61,6
121,Jul,16.442,12.984,20.82,7
121,Aug,16.193,12.814,20.463,8
121,Sep,16.472,13.024,20.833,9
121,Oct,16.954,13.217,21.748,10
122,Apr,18.749,14.842,23.684,4
122,May,17.047,13.486,21.548,5
122,Jun,15.855,12.536,20.052,6
122,Jul,16.842,13.298,21.329,7
122,Aug,16.595,13.132,20.972,8
122,Sep,16.892,13.355,21.367,9
122,Oct,17.392,13.553,22.32,10
123,Apr,19.246,15.235,24.312,4
123,May,17.448,13.803,22.057,5
123,Jun,16.209,12.815,20.501,6
123,Jul,17.247,13.617,21.846,7
123,Aug,17.003,13.454,21.488,8
123,Sep,17.32,13.692,21.909,9
123,Oct,17.838,13.894,22.902,10
124,Apr,19.751,15.634,24.953,4
124,May,17.856,14.124,22.574,5
124,Jun,16.567,13.097,20.957,6
124,Jul,17.66,13.941,22.37,7
124,Aug,17.418,13.781,22.014,8
124,Sep,17.755,14.035,22.461,9
124,Oct,18.292,14.241,23.495,10
125,Apr,20.266,16.04,25.604,4
125,May,18.27,14.45,23.1,5
125,Jun,16.93,13.383,21.419,6
125,Jul,18.078,14.269,22.904,7
125,Aug,17.839,14.114,22.547,8
125,Sep,18.197,14.384,23.022,9
125,Oct,18.753,14.593,24.098,10
126,Apr,20.789,16.453,26.268,4
126,May,18.69,14.78,23.633,5
126,Jun,17.299,13.672,21.887,6
126,Jul,18.503,14.603,23.445,7
126,Aug,18.267,14.452,23.089,8
126,Sep,18.647,14.738,23.592,9
126,Oct,19.222,14.951,24.712,10
127,Apr,21.322,16.874,26.943,4
127,May,19.116,15.116,24.174,5
127,Jun,17.672,13.966,22.362,6
127,Jul,18.935,14.942,23.995,7
127,Aug,18.702,14.795,23.64,8
127,Sep,19.104,15.098,24.172,9
127,Oct,19.699,15.315,25.337,10
128,Apr,21.864,17.302,27.63,4
128,May,19.548,15.456,24.723,5
128,Jun,18.051,14.264,22.843,6
128,Jul,19.373,15.285,24.553,7
128,Aug,19.143,15.144,24.199,8
128,Sep,19.568,15.464,24.762,9
128,Oct,20.184,15.685,25.972,10
129,Apr,22.416,17.737,28.329,4
129,May,19.987,15.802,25.28,5
129,Jun,18.434,14.565,23.331,6
129,Jul,19.818,15.634,25.12,7
129,Aug,19.592,15.498,24.768,8
129,Sep,20.04,15.836,25.361,9
129,Oct,20.677,16.061,26.619,10
130,Apr,22.977,18.18,29.04,4
130,May,20.432,16.152,25.845,5
130,Jun,18.823,14.871,23.825,6
130,Jul,20.269,15.988,25.696,7
130,Aug,20.047,15.857,25.344,8
130,Sep,20.52,16.214,25.97,9
130,Oct,21.178,16.442,27.276,10
131,Apr,23.548,18.63,29.763,4
131,May,20.883,16.507,26.419,5
131,Jun,19.216,15.18,24.326,6
131,Jul,20.727,16.348,26.28,7
131,Aug,20.51,16.222,25.93,8
131,Sep,21.007,16.598,26.589,9
131,Oct,21.687,16.83,27.945,10
