Group,Desc,Text,long,lat,Club,Icon
Parkering og ruter,Parkering,"Haderis Å syd for Haderup ved ""Birkelunden"". POS: 56.3786, 8.9918",8.991805,56.378607,MV-LF,park.png
Parkering og ruter,Parkering,"Haderis Å ved Stavlund. Parkering på højre hånd kort efter man kører ind på Haderisvej. POS: 56.36908, 8.99162",8.991623,56.36908,MV-LF,park.png
Parkering og ruter,Parkering,NA,9.009521,56.40158,MV-LF,park.png
Info,Hessellund hytten,NA,9.114103,56.332694,MV-LF,cottage.png
Info,Karup Hytten,"Foreningen råder over en hytte, som altid er åben, og kan benyttes til let overnatning, men der bliver også indimellem fortalt gode fiskehistorier omkring bordet. Foruden vores online fangstrapport har vi også en fangstbog liggende i hytten, hvor der kan studeres fangster gennem mange år.",9.143313,56.314056,MV-LF,cottage.png
Info,Indgang til indhegning,NA,9.152681,56.308227,MV-LF,fence.png
Info,Indgang til indhegning,NA,9.155949,56.30684,MV-LF,fence.png
Info,Indgang til indhegning,NA,9.143654,56.314148,MV-LF,fence.png
Info,Indgang til indhegning,NA,9.140972,56.316192,MV-LF,fence.png
Info,Spang,NA,9.0774965,56.3741367,MV-LF,footbridge.png
Info,Spang,NA,9.0625003,56.3870269,MV-LF,footbridge.png
Info,Lasses spang,NA,9.0768616,56.3712569,MV-LF,footbridge.png
Info,Spang,NA,9.0732697,56.3803256,MV-LF,footbridge.png
Info,Spang,NA,9.0658597,56.3838847,MV-LF,footbridge.png
Info,Spang,NA,9.0804874,56.3690242,MV-LF,footbridge.png
Info,Det røde sommerhus,NA,9.0741029,56.3804029,MV-LF,house.png
Standpladser i åen,Dueholm Leg,NA,8.996794,56.428309,MV-LF,fish.png
Standpladser i åen,Severins høl,NA,8.996558,56.423723,MV-LF,fish.png
Standpladser i åen,Sommerhushullet,NA,8.995367,56.42253,MV-LF,fish.png
Standpladser i åen,Pælehøllet,NA,8.996504,56.422655,MV-LF,fish.png
Standpladser i åen,Hundetungerne,NA,8.996633,56.421349,MV-LF,fish.png
Standpladser i åen,S-svinget udgang,NA,8.998876,56.420625,MV-LF,fish.png
Standpladser i åen,S-svinget indgang,NA,8.998092,56.419919,MV-LF,fish.png
Standpladser i åen,Grønbæks Store Høl,NA,9.001086,56.418115,MV-LF,fish.png
Standpladser i åen,Busken,NA,8.995678,56.424779,MV-LF,fish.png
Standpladser i åen,Ærtehøllet,NA,8.999906,56.417569,MV-LF,fish.png
Standpladser i åen,Slagterhullet,NA,8.998007,56.414922,MV-LF,fish.png
Standpladser i åen,Grønbæks Lille Høl,NA,8.999069,56.4151,MV-LF,fish.png
Standpladser i åen,Røjbæk Høl,NA,8.999444,56.413231,MV-LF,fish.png
Standpladser i åen,Æbletræet,NA,9.005173,56.4091,MV-LF,fish.png
Standpladser i åen,Bette Niels Høl,NA,9.006053,56.408358,MV-LF,fish.png
Standpladser i åen,Alknuden,NA,9.005163,56.408328,MV-LF,fish.png
Standpladser i åen,De Tre Grøfter,NA,9.004573,56.407764,MV-LF,fish.png
Standpladser i åen,Spisekammeret,NA,9.008596,56.40568,MV-LF,fish.png
Standpladser i åen,Gransvinget,NA,9.018531,56.406221,MV-LF,fish.png
Standpladser i åen,Sejbækkens udløb,NA,9.019239,56.406375,MV-LF,fish.png
Standpladser i åen,Østergaards Bakke,NA,9.020344,56.406399,MV-LF,fish.png
Standpladser i åen,Pumpehullet,NA,9.021846,56.404434,MV-LF,fish.png
Standpladser i åen,Degnens Hul,NA,9.032704,56.401014,MV-LF,fish.png
Standpladser i åen,Vormstrup Svingene,NA,9.034334,56.401097,MV-LF,fish.png
Standpladser i åen,Nørregårds Låge,NA,9.034367,56.399654,MV-LF,fish.png
Standpladser i åen,Pumpehøllet,NA,9.036748,56.401364,MV-LF,fish.png
Standpladser i åen,Hegnsgaard Fossen,NA,9.04398,56.397582,MV-LF,fish.png
Standpladser i åen,Over Torp,NA,9.099834,56.355836,MV-LF,fish.png
Standpladser i åen,Neder Torp,NA,9.092581,56.362029,MV-LF,fish.png
Parkering,Ved fiskehusene,NA,9.0518871,56.5651816,LFSO,park.png
Parkering,Engvej,NA,9.0380571,56.5670376,LFSO,park.png
Parkering,Sdr Boulevard,NA,9.0247001,56.5579566,LFSO,park.png
Parkering,Ved Handicap pladsen,NA,9.009242,56.5658598,LFSO,park.png
Parkering,Herning vej,NA,8.9997554,56.5637598,LFSO,park.png
Parkering,Herning vej,NA,8.999755,56.56376,LFSO,park.png
Parkering,Ved Johnsens bro,NA,9.002598,56.548141,LFSO,park.png
Parkering,Under broen over ådalen,NA,8.997727,56.54377,LFSO,park.png
Parkering,Ved den gl. spejderhytte,NA,8.996387,56.541709,LFSO,park.png
Parkering,Ved gl betonbro,NA,8.996397,56.533424,LFSO,park.png
Parkering,Ved Estvadgaards bro,NA,8.995635,56.525022,LFSO,park.png
Parkering,Ved spang ved Henning Gade,NA,8.989896,56.520571,LFSO,park.png
Parkering,Ved Nørre kær bro,NA,8.9831634,56.5142414,LFSO,park.png
Info,Shelters ved Nørrekær,NA,8.9828249,56.5147859,LFSO,shelter.png
Info,Spang til Henning Gade,NA,8.9892518,56.5207897,LFSO,footbridge.png
Info,Toilet,NA,8.9830935,56.5147824,LFSO,wc.png
Parkering,Ved Nørre kær bro,NA,8.9831457,56.5141848,LFSO,park.png
Parkering,Ved moserne,NA,8.986269,56.508253,LFSO,park.png
Parkering,Ved S. svinget,NA,8.990802,56.492752,LFSO,park.png
Parkering,Madsens plads,NA,8.979274,56.50309,LFSO,park.png
Parkering,Karstoft,Parkering i Karstoft Fly gangtræ,8.9827824,56.4880828,LFSO,park.png
Parkering,P. plads ved moserne,NA,8.9848423,56.5104965,LFSO,park.png
Info,Shelters ved Nørrekær,NA,8.9828308,56.5148029,LFSO,shelter.png
Info,Hytte Madsens plads,NA,8.979521,56.502877,LFSO,cottage.png
Info,Hytte i Karstoft,NA,8.9826652,56.4879986,LFSO,cottage.png
Info,Fly gangtræ (spang),NA,8.9885089,56.4880649,LFSO,footbridge.png
Parkering,Karstoft,Parkering i Karstoft Fly gangtræ,8.9826,56.487905,LFSO,park.png
Parkering,Mosen på Åkjærvej,NA,8.993082,56.482514,LFSO,park.png
Parkering,Drikkestedet i Åkjær,NA,8.992481,56.479576,LFSO,park.png
Parkering,Ved skråvejen,NA,8.984435,56.469277,LFSO,park.png
Parkering,Mosen på Åkjærvej,NA,8.984081,56.462052,LFSO,park.png
Info,Fly gangtræ (spang),NA,8.988525,56.4880427,LFSO,footbridge.png
Info,Hytte i Karstoft,NA,8.9826765,56.4879628,LFSO,cottage.png
Info,Åkjær spang,NA,8.983174,56.4752147,LFSO,footbridge.png
Parkering,Mosen på Åkjærvej,NA,8.984081,56.462052,LFSO,park.png
Parkering,Stenhullet,NA,8.981817,56.455199,LFSO,park.png
Parkering,Vridsted bro,NA,9.0013646,56.4424268,LFSO,park.png
Parkering,P ved Ålykken,NA,9.003382,56.443862,LFSO,park.png
Info,Hytte ved stenhullet,Hytte,8.982246,56.455294,LFSO,cottage.png
Info,Toilet,NA,9.0030867,56.4427468,LFSO,wc.png
Info,Shelters i Vridsted,Shelters,9.0029738,56.4428075,LFSO,shelter.png
Parkering,Dueholm 1,NA,8.993715,56.429567,LFSO,park.png
Parkering,Dueholm 2,NA,8.993061,56.428422,LFSO,park.png
Parkering,Dueholm 3,NA,8.992352,56.426731,LFSO,park.png
Parkering,Dueholmvej,NA,8.989778,56.422174,LFSO,park.png
Parkering,Slagtermesteren,NA,8.995088,56.414163,LFSO,park.png
Parkering,Hagebro,NA,9.0070162,56.4068024,LFSO,park.png
Parkering,Stendyssen,NA,9.015108,56.403466,LFSO,park.png
Info,Spang,NA,9.0006969,56.4113819,LFSO,footbridge.png
Info,Køb af fiskekort,Dagkort til LFSO,9.0108703,56.4081913,LFSO,house.png
Info,Spang i Dueholm,NA,8.9970544,56.4298664,LFSO,footbridge.png
Parkering,Stendyssen,NA,9.015108,56.403466,LFSO,park.png
Parkering,Vormstrup ved hytten,NA,9.034259,56.398988,LFSO,park.png
Parkering,Koldkur gård,NA,9.044055,56.399672,LFSO,park.png
Parkering,Grusgrav,NA,9.041995,56.395385,LFSO,park.png
Parkering,Clausen,NA,9.059483,56.389091,LFSO,park.png
Parkering,Nørrehedevej 5,NA,9.0733981,56.3870653,LFSO,park.png
Info,Vormstrup hytten,Hytte,9.034342,56.399076,LFSO,cottage.png
Info,Køb af fiskekort,Dagkort til LFSO,9.010248,56.408037,LFSO,house.png
Info,Spang i Vormstrup,NA,9.034324,56.399834,LFSO,footbridge.png
Info,Spang ved nedre Vormstrup,NA,9.026218,56.403157,LFSO,footbridge.png
Info,Spang i Koldkur 2,NA,9.054961,56.3938773,LFSO,footbridge.png
Info,Spang i Koldkur 1,NA,9.040756,56.399934,LFSO,footbridge.png
Info,Spang,NA,9.062503,56.387062,LFSO,footbridge.png
Info,Spang,NA,9.065877,56.383929,LFSO,footbridge.png
