Group,Desc,Text,long,lat,LineGroupId,Club
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91832,55.976871,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91898,55.977291,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92025,55.977501,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9207,55.977421,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92124,55.977242,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92207,55.977112,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92323,55.977112,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92353,55.97715,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9238,55.97723,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92399,55.97739,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92405,55.97757,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92383,55.977821,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92339,55.977951,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92295,55.977852,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92252,55.97784,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92214,55.97802,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92204,55.978161,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92205,55.9785,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92184,55.978642,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92061,55.978851,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92023,55.979031,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92001,55.979252,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92004,55.97942,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92026,55.979721,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92069,55.98,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92107,55.98011,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92137,55.979931,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92164,55.979641,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9218,55.979351,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92199,55.97921,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92246,55.979221,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92308,55.97945,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92395,55.97963,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92431,55.97987,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92431,55.98011,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92403,55.980572,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92406,55.980721,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92442,55.980961,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92534,55.981232,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92599,55.98148,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92632,55.981701,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92643,55.981972,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92671,55.982201,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92688,55.98262,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92689,55.982861,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92678,55.983341,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9262,55.983891,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92614,55.984051,101,HI-LF
