Date,Place,Level,LevelRelative
2021-01-22T22:30:00Z,Omme Å - Sønderskov bro (001855),-1.122,0.428
2021-01-22T22:30:00Z,Fjederholt Å - A18 (052386),0.976,0.237
2021-01-22T22:15:00Z,Vorgod Å - Vandmøllen (055416),1.27,0.262
2021-01-22T22:15:00Z,Skjern Å - Sandfeldvej (055414),1.621,0.507
2021-01-22T22:15:00Z,Skjern Å - Gjaldbæk bro (017898),1.841,0.715
2021-01-22T22:15:00Z,Skjern Å - Alergaard (001862),-3.162,1.019
2021-01-22T22:15:00Z,Rind Å - Arnborg kirke (054757),1.777,0.827
2021-01-22T22:15:00Z,Omme Å - Sønderskov bro (001855),-1.121,0.429
2021-01-22T22:15:00Z,Fjederholt Å - A18 (052386),0.973,0.234
2021-01-22T22:00:00Z,Vorgod Å - Vandmøllen (055416),1.272,0.264
2021-01-22T22:00:00Z,Skjern Å - Sandfeldvej (055414),1.624,0.51
2021-01-22T22:00:00Z,Skjern Å - Gjaldbæk bro (017898),1.834,0.708
2021-01-22T22:00:00Z,Skjern Å - Alergaard (001862),-3.172,1.009
2021-01-22T22:00:00Z,Rind Å - Arnborg kirke (054757),1.776,0.826
2021-01-22T22:00:00Z,Omme Å - Sønderskov bro (001855),-1.121,0.429
2021-01-22T22:00:00Z,Fjederholt Å - A18 (052386),0.972,0.233
2021-01-22T21:45:00Z,Vorgod Å - Vandmøllen (055416),1.277,0.269
2021-01-22T21:45:00Z,Skjern Å - Sandfeldvej (055414),1.626,0.512
2021-01-22T21:45:00Z,Skjern Å - Gjaldbæk bro (017898),1.837,0.711
2021-01-22T21:45:00Z,Skjern Å - Alergaard (001862),-3.165,1.016
2021-01-22T21:45:00Z,Rind Å - Arnborg kirke (054757),1.79,0.84
2021-01-22T21:45:00Z,Omme Å - Sønderskov bro (001855),-1.122,0.428
2021-01-22T21:45:00Z,Fjederholt Å - A18 (052386),0.975,0.236
2021-01-22T21:30:00Z,Vorgod Å - Vandmøllen (055416),1.275,0.267
2021-01-22T21:30:00Z,Skjern Å - Sandfeldvej (055414),1.628,0.514
2021-01-22T21:30:00Z,Skjern Å - Gjaldbæk bro (017898),1.834,0.708
2021-01-22T21:30:00Z,Skjern Å - Alergaard (001862),-3.177,1.004
2021-01-22T21:30:00Z,Rind Å - Arnborg kirke (054757),1.786,0.836
2021-01-22T21:30:00Z,Omme Å - Sønderskov bro (001855),-1.122,0.428
2021-01-22T21:30:00Z,Fjederholt Å - A18 (052386),0.977,0.238
2021-01-22T21:15:00Z,Vorgod Å - Vandmøllen (055416),1.278,0.27
2021-01-22T21:15:00Z,Skjern Å - Sandfeldvej (055414),1.631,0.517
2021-01-22T21:15:00Z,Skjern Å - Gjaldbæk bro (017898),1.841,0.715
2021-01-22T21:15:00Z,Skjern Å - Alergaard (001862),-3.17,1.011
2021-01-22T21:15:00Z,Rind Å - Arnborg kirke (054757),1.783,0.833
2021-01-22T21:15:00Z,Omme Å - Sønderskov bro (001855),-1.121,0.429
2021-01-22T21:15:00Z,Fjederholt Å - A18 (052386),0.975,0.236
2021-01-22T21:00:00Z,Vorgod Å - Vandmøllen (055416),1.282,0.274
2021-01-22T21:00:00Z,Skjern Å - Sandfeldvej (055414),1.631,0.517
2021-01-22T21:00:00Z,Skjern Å - Gjaldbæk bro (017898),1.825,0.699
2021-01-22T21:00:00Z,Skjern Å - Alergaard (001862),-3.163,1.018
2021-01-22T21:00:00Z,Rind Å - Arnborg kirke (054757),1.777,0.827
2021-01-22T21:00:00Z,Omme Å - Sønderskov bro (001855),-1.121,0.429
2021-01-22T21:00:00Z,Fjederholt Å - A18 (052386),0.983,0.244
2021-01-22T20:45:00Z,Vorgod Å - Vandmøllen (055416),1.284,0.276
2021-01-22T20:45:00Z,Skjern Å - Sandfeldvej (055414),1.631,0.517
2021-01-22T20:45:00Z,Skjern Å - Gjaldbæk bro (017898),1.829,0.703
2021-01-22T20:45:00Z,Skjern Å - Alergaard (001862),-3.169,1.012
2021-01-22T20:45:00Z,Rind Å - Arnborg kirke (054757),1.795,0.845
2021-01-22T20:45:00Z,Omme Å - Sønderskov bro (001855),-1.122,0.428
2021-01-22T20:45:00Z,Fjederholt Å - A18 (052386),0.982,0.243
2021-01-22T20:30:00Z,Vorgod Å - Vandmøllen (055416),1.283,0.275
2021-01-22T20:30:00Z,Skjern Å - Sandfeldvej (055414),1.634,0.52
2021-01-22T20:30:00Z,Skjern Å - Gjaldbæk bro (017898),1.831,0.705
2021-01-22T20:30:00Z,Skjern Å - Alergaard (001862),-3.178,1.003
2021-01-22T20:30:00Z,Rind Å - Arnborg kirke (054757),1.788,0.838
2021-01-22T20:30:00Z,Omme Å - Sønderskov bro (001855),-1.122,0.428
2021-01-22T20:30:00Z,Fjederholt Å - A18 (052386),0.977,0.238
2021-01-22T20:15:00Z,Vorgod Å - Vandmøllen (055416),1.288,0.28
2021-01-22T20:15:00Z,Skjern Å - Sandfeldvej (055414),1.634,0.52
2021-01-22T20:15:00Z,Skjern Å - Gjaldbæk bro (017898),1.836,0.71
2021-01-22T20:15:00Z,Skjern Å - Alergaard (001862),-3.172,1.009
2021-01-22T20:15:00Z,Rind Å - Arnborg kirke (054757),1.8,0.85
2021-01-22T20:15:00Z,Omme Å - Sønderskov bro (001855),-1.122,0.428
2021-01-22T20:15:00Z,Fjederholt Å - A18 (052386),0.984,0.245
2021-01-22T20:00:00Z,Vorgod Å - Vandmøllen (055416),1.29,0.282
2021-01-22T20:00:00Z,Skjern Å - Sandfeldvej (055414),1.635,0.521
2021-01-22T20:00:00Z,Skjern Å - Gjaldbæk bro (017898),1.825,0.699
2021-01-22T20:00:00Z,Skjern Å - Alergaard (001862),-3.17,1.011
2021-01-22T20:00:00Z,Rind Å - Arnborg kirke (054757),1.812,0.862
2021-01-22T20:00:00Z,Omme Å - Sønderskov bro (001855),-1.122,0.428
2021-01-22T20:00:00Z,Fjederholt Å - A18 (052386),0.985,0.246
2021-01-22T19:45:00Z,Vorgod Å - Vandmøllen (055416),1.297,0.289
2021-01-22T19:45:00Z,Skjern Å - Sandfeldvej (055414),1.638,0.524
2021-01-22T19:45:00Z,Skjern Å - Gjaldbæk bro (017898),1.837,0.711
2021-01-22T19:45:00Z,Skjern Å - Alergaard (001862),-3.179,1.002
2021-01-22T19:45:00Z,Rind Å - Arnborg kirke (054757),1.806,0.856
2021-01-22T19:45:00Z,Omme Å - Sønderskov bro (001855),-1.123,0.427
2021-01-22T19:45:00Z,Fjederholt Å - A18 (052386),0.986,0.247
2021-01-22T19:30:00Z,Vorgod Å - Vandmøllen (055416),1.298,0.29
2021-01-22T19:30:00Z,Skjern Å - Sandfeldvej (055414),1.638,0.524
2021-01-22T19:30:00Z,Skjern Å - Gjaldbæk bro (017898),1.831,0.705
2021-01-22T19:30:00Z,Skjern Å - Alergaard (001862),-3.176,1.005
2021-01-22T19:30:00Z,Rind Å - Arnborg kirke (054757),1.805,0.855
2021-01-22T19:30:00Z,Omme Å - Sønderskov bro (001855),-1.123,0.427
2021-01-22T19:30:00Z,Fjederholt Å - A18 (052386),0.991,0.252
2021-01-22T19:15:00Z,Vorgod Å - Vandmøllen (055416),1.3,0.292
2021-01-22T19:15:00Z,Skjern Å - Sandfeldvej (055414),1.641,0.527
2021-01-22T19:15:00Z,Skjern Å - Gjaldbæk bro (017898),1.838,0.712
2021-01-22T19:15:00Z,Skjern Å - Alergaard (001862),-3.172,1.009
2021-01-22T19:15:00Z,Rind Å - Arnborg kirke (054757),1.798,0.848
2021-01-22T19:15:00Z,Omme Å - Sønderskov bro (001855),-1.123,0.427
2021-01-22T19:15:00Z,Fjederholt Å - A18 (052386),0.985,0.246
2021-01-22T19:00:00Z,Vorgod Å - Vandmøllen (055416),1.302,0.294
