Date,Vorgod Å - Vandmøllen (055416),Skjern Å - Sandfeldvej (055414),Skjern Å - Alergaard (001862),Skjern Å - Gjaldbæk bro (017898),Rind Å - Arnborg kirke (054757),Omme Å - Sønderskov bro (001855),Fjederholt Å - A18 (052386)
2020-07-04T10:45:00Z,0.819362258911133,1.00977973937988,-4.49311468124389,0.8693427276611331,0.8610094451904301,-1.797749526977539,0.539
2020-07-04T10:30:00Z,0.8135220336914061,1.0063009643554701,-4.49589445114135,0.86669563293457,0.854411773681641,-1.800535171508789,0.535
2020-07-04T10:15:00Z,0.807795944213867,1.0020518493652302,-4.49739599227905,0.861525802612305,0.851112976074219,-1.8037079315185551,0.531
2020-07-04T10:00:00Z,0.801731033325195,0.998155822753906,-4.50656850814819,0.8584951782226561,0.845485610961914,-1.806649978637695,0.527
2020-07-04T09:45:00Z,0.795887908935547,0.99465217590332,-4.5070272636413495,0.854794540405273,0.842380828857422,-1.8094698791503911,0.524
2020-07-04T09:30:00Z,0.789654159545898,0.9902024841308591,-4.50635473251342,0.8497337341308591,0.840052185058594,-1.8122700195312502,0.521
2020-07-04T09:15:00Z,0.781546249389648,0.98626953125,-4.51010465621948,0.847287139892578,0.838305816650391,-1.8151006774902343,0.518
2020-07-04T09:00:00Z,0.77418197631835906,0.982607498168945,-4.51018552780151,0.844751739501953,0.838305816650391,-1.8175996856689451,0.516
2020-07-04T08:45:00Z,0.767771377563477,0.97922119140625,-4.51551984786987,0.842196655273438,0.838887939453125,-1.820311172485352,0.513
2020-07-04T08:30:00Z,0.760168228149414,0.974772796630859,-4.520239009857169,0.8373999023437501,0.8344248962402341,-1.822860458374023,0.511
2020-07-04T08:15:00Z,0.7546173858642581,0.967520523071289,-4.52121397018432,0.8340232849121091,0.8317081451416021,-1.8252021484375,0.509
2020-07-04T08:00:00Z,0.748083648681641,0.960699081420898,-4.52394918441772,0.831180038452148,0.8266629791259771,-1.8276595001220701,0.509
2020-07-04T07:45:00Z,0.741172790527344,0.9563593292236331,-4.52858434677124,0.831506576538086,0.827827224731445,-1.8297781829833981,0.508
2020-07-04T07:30:00Z,0.735802459716797,0.9528046417236331,-4.52399168014526,0.82387092590332,0.820259323120117,-1.8317164306640623,0.507
2020-07-04T07:15:00Z,0.731409225463867,0.9494041442871091,-4.53493947982788,0.822441940307617,0.819483184814453,-1.8338885192871093,0.507
2020-07-04T07:00:00Z,0.726484832763672,0.944679412841797,-4.52758924484253,0.8216998291015629,0.815214157104492,-1.8353167419433591,0.505
2020-07-04T06:45:00Z,0.720311126708984,0.940530090332031,-4.53168409347534,0.818938903808594,0.8161843109130861,-1.837535827636719,0.504
2020-07-04T06:30:00Z,0.714789733886719,0.936836700439453,-4.53666120529174,0.818430786132813,0.810556869506836,-1.839064910888672,0.503
2020-07-04T06:15:00Z,0.711395263671875,0.933224029541016,-4.53507772445678,0.817282333374023,0.809586639404297,-1.8407069854736333,0.5
2020-07-04T06:00:00Z,0.7056813812255861,0.9300930023193361,-4.530288906097409,0.812981719970703,0.8072581481933591,-1.842615783691406,0.499
2020-07-04T05:45:00Z,0.70190673828125,0.927267913818359,-4.5319793510437,0.815671081542969,0.808228378295898,-1.8442833404541021,0.498
