Date,Place,YGroup,Temp
2020-11-08T10:25:00Z,Hagebro,2023,8
2020-11-08T11:25:00Z,Hagebro,2023,8.1
2020-11-08T12:25:00Z,Hagebro,2023,8.2
2020-11-08T13:25:00Z,Hagebro,2023,8.3
2020-11-08T14:25:00Z,Hagebro,2023,8.4
2020-11-08T15:25:00Z,Hagebro,2023,8.4
2020-11-08T16:25:00Z,Hagebro,2023,8.3
2020-11-08T17:25:00Z,Hagebro,2023,8.3
2020-11-08T18:25:00Z,Hagebro,2023,8.3
2020-11-08T19:25:00Z,Hagebro,2023,8.3
2020-11-08T20:25:00Z,Hagebro,2023,8.3
2020-11-08T21:25:00Z,Hagebro,2023,8.3
2020-11-08T22:25:00Z,Hagebro,2023,8.3
2020-11-08T23:25:00Z,Hagebro,2023,8.3
2020-11-09T00:25:00Z,Hagebro,2023,8.3
2020-11-09T01:25:00Z,Hagebro,2023,8.3
2020-11-09T02:25:00Z,Hagebro,2023,8.3
2020-11-09T03:25:00Z,Hagebro,2023,8.3
2020-11-09T04:25:00Z,Hagebro,2023,8.2
2020-11-09T05:25:00Z,Hagebro,2023,8.2
2020-11-09T06:25:00Z,Hagebro,2023,8.1
2020-11-09T07:25:00Z,Hagebro,2023,8.1
2020-11-09T08:25:00Z,Hagebro,2023,8.1
2020-11-09T09:25:00Z,Hagebro,2023,8.1
2020-11-09T10:25:00Z,Hagebro,2023,8.1
2020-11-09T11:25:00Z,Hagebro,2023,8.1
2020-11-09T12:15:00Z,Hagebro,2023,8.2
2020-10-31T00:25:00Z,Hagebro,2024,9.3
2020-10-31T01:25:00Z,Hagebro,2024,9.2
2020-10-31T02:25:00Z,Hagebro,2024,9.1
2020-10-31T03:25:00Z,Hagebro,2024,9.1
2020-10-31T04:25:00Z,Hagebro,2024,9.1
2020-10-31T05:25:00Z,Hagebro,2024,9.1
2020-10-31T06:25:00Z,Hagebro,2024,9.1
2020-10-31T07:25:00Z,Hagebro,2024,9.1
2020-10-31T08:25:00Z,Hagebro,2024,9.2
2020-10-31T09:25:00Z,Hagebro,2024,9.2
2020-10-31T10:25:00Z,Hagebro,2024,9.3
2020-10-31T11:25:00Z,Hagebro,2024,9.4
2020-10-31T12:25:00Z,Hagebro,2024,9.5
2020-10-31T13:25:00Z,Hagebro,2024,9.6
2020-10-31T14:25:00Z,Hagebro,2024,9.7
2020-10-31T15:25:00Z,Hagebro,2024,9.7
2020-10-31T16:25:00Z,Hagebro,2024,9.8
2020-10-31T17:25:00Z,Hagebro,2024,9.8
2020-10-31T18:25:00Z,Hagebro,2024,9.8
2020-10-31T19:25:00Z,Hagebro,2024,9.8
2020-10-31T20:25:00Z,Hagebro,2024,9.9
2020-10-31T21:25:00Z,Hagebro,2024,9.9
2020-10-31T22:25:00Z,Hagebro,2024,9.9
2020-10-31T23:25:00Z,Hagebro,2024,9.9
2020-11-01T00:25:00Z,Hagebro,2024,9.9
2020-11-01T01:25:00Z,Hagebro,2024,9.9
2020-11-01T02:25:00Z,Hagebro,2024,9.9
2020-11-01T03:25:00Z,Hagebro,2024,9.9
2020-11-01T04:25:00Z,Hagebro,2024,9.9
2020-11-01T05:25:00Z,Hagebro,2024,9.9
2020-11-01T06:25:00Z,Hagebro,2024,9.9
2020-11-01T07:25:00Z,Hagebro,2024,10
2020-11-01T08:25:00Z,Hagebro,2024,10
2020-11-01T09:25:00Z,Hagebro,2024,10.1
2020-11-01T10:25:00Z,Hagebro,2024,10.2
2020-11-01T11:25:00Z,Hagebro,2024,10.2
2020-11-01T12:25:00Z,Hagebro,2024,10.3
2020-11-01T13:25:00Z,Hagebro,2024,10.4
2020-11-01T14:25:00Z,Hagebro,2024,10.4
2020-11-01T15:25:00Z,Hagebro,2024,10.3
2020-11-01T16:25:00Z,Hagebro,2024,10.2
2020-11-01T17:25:00Z,Hagebro,2024,10.1
2020-11-01T18:25:00Z,Hagebro,2024,9.9
2020-11-01T19:25:00Z,Hagebro,2024,9.7
2020-11-01T20:25:00Z,Hagebro,2024,9.6
2020-11-01T21:25:00Z,Hagebro,2024,9.4
2020-11-01T22:25:00Z,Hagebro,2024,9.2
2020-11-01T23:25:00Z,Hagebro,2024,9.1
2020-11-02T00:25:00Z,Hagebro,2024,9
2020-11-02T01:25:00Z,Hagebro,2024,8.9
2020-11-02T02:25:00Z,Hagebro,2024,8.7
2020-11-02T03:25:00Z,Hagebro,2024,8.6
2020-11-02T04:25:00Z,Hagebro,2024,8.4
2020-11-02T05:25:00Z,Hagebro,2024,8.2
2020-11-02T06:25:00Z,Hagebro,2024,8.1
2020-11-02T07:25:00Z,Hagebro,2024,8
2020-11-02T08:25:00Z,Hagebro,2024,7.9
2020-11-02T09:25:00Z,Hagebro,2024,7.8
2020-11-02T10:25:00Z,Hagebro,2024,7.9
2020-11-02T11:25:00Z,Hagebro,2024,8
2020-11-02T12:25:00Z,Hagebro,2024,8
2020-11-02T13:25:00Z,Hagebro,2024,8
2020-11-02T14:25:00Z,Hagebro,2024,8
2020-11-02T15:25:00Z,Hagebro,2024,8
2020-11-02T16:25:00Z,Hagebro,2024,7.9
2020-11-02T17:25:00Z,Hagebro,2024,7.9
2020-11-02T18:25:00Z,Hagebro,2024,7.8
2020-11-02T19:25:00Z,Hagebro,2024,7.8
2020-11-02T20:25:00Z,Hagebro,2024,7.8
2020-11-02T21:25:00Z,Hagebro,2024,7.8
2020-11-02T22:25:00Z,Hagebro,2024,7.8
2020-11-02T23:25:00Z,Hagebro,2024,7.7
2020-11-03T00:25:00Z,Hagebro,2024,7.7
2020-11-03T01:25:00Z,Hagebro,2024,7.7
2020-11-03T02:25:00Z,Hagebro,2024,7.7
2020-11-03T03:25:00Z,Hagebro,2024,7.7
2020-11-03T04:25:00Z,Hagebro,2024,7.8
2020-11-03T05:25:00Z,Hagebro,2024,7.8
2020-11-03T06:25:00Z,Hagebro,2024,7.8
2020-11-03T07:25:00Z,Hagebro,2024,7.9
2020-11-03T08:25:00Z,Hagebro,2024,7.9
2020-11-03T09:25:00Z,Hagebro,2024,8.1
2020-11-03T10:25:00Z,Hagebro,2024,8.2
2020-11-03T11:25:00Z,Hagebro,2024,8.3
2020-11-03T12:25:00Z,Hagebro,2024,8.5
2020-11-03T13:25:00Z,Hagebro,2024,8.6
2020-11-03T14:25:00Z,Hagebro,2024,8.7
2020-11-03T15:25:00Z,Hagebro,2024,8.7
2020-11-03T16:25:00Z,Hagebro,2024,8.8
2020-11-03T17:25:00Z,Hagebro,2024,8.8
2020-11-03T18:25:00Z,Hagebro,2024,8.9
2020-11-03T19:25:00Z,Hagebro,2024,8.9
2020-11-03T20:25:00Z,Hagebro,2024,9
2020-11-03T21:25:00Z,Hagebro,2024,9
2020-11-03T22:25:00Z,Hagebro,2024,9
2020-11-03T23:25:00Z,Hagebro,2024,9.1
2020-11-04T00:25:00Z,Hagebro,2024,9.1
2020-11-04T01:25:00Z,Hagebro,2024,9.1
2020-11-04T02:25:00Z,Hagebro,2024,9.2
2020-11-04T03:25:00Z,Hagebro,2024,9.2
2020-11-04T04:25:00Z,Hagebro,2024,9.2
2020-11-04T05:25:00Z,Hagebro,2024,9.2
2020-11-04T06:25:00Z,Hagebro,2024,9.2
2020-11-04T07:25:00Z,Hagebro,2024,9.2
2020-11-04T08:25:00Z,Hagebro,2024,9.2
2020-11-04T09:25:00Z,Hagebro,2024,9.3
2020-11-04T10:25:00Z,Hagebro,2024,9.4
2020-11-04T11:25:00Z,Hagebro,2024,9.4
2020-11-04T12:25:00Z,Hagebro,2024,9.5
2020-11-04T13:25:00Z,Hagebro,2024,9.5
2020-11-04T14:25:00Z,Hagebro,2024,9.6
2020-11-04T15:25:00Z,Hagebro,2024,9.6
2020-11-04T16:25:00Z,Hagebro,2024,9.6
2020-11-04T17:25:00Z,Hagebro,2024,9.6
2020-11-04T18:25:00Z,Hagebro,2024,9.5
2020-11-04T19:25:00Z,Hagebro,2024,9.5
2020-11-04T20:25:00Z,Hagebro,2024,9.5
2020-11-04T21:25:00Z,Hagebro,2024,9.6
2020-11-04T22:25:00Z,Hagebro,2024,9.6
2020-11-04T23:25:00Z,Hagebro,2024,9.5
2020-11-05T00:25:00Z,Hagebro,2024,9.5
2020-11-05T01:25:00Z,Hagebro,2024,9.5
2020-11-05T02:25:00Z,Hagebro,2024,9.4
2020-11-05T03:25:00Z,Hagebro,2024,9.4
2020-11-05T04:25:00Z,Hagebro,2024,9.3
2020-11-05T05:25:00Z,Hagebro,2024,9.3
2020-11-05T06:25:00Z,Hagebro,2024,9.2
2020-11-05T07:25:00Z,Hagebro,2024,9.2
2020-11-05T08:25:00Z,Hagebro,2024,9.2
2020-11-05T09:25:00Z,Hagebro,2024,9.2
2020-11-05T10:25:00Z,Hagebro,2024,9.3
2020-11-05T11:25:00Z,Hagebro,2024,9.3
2020-11-05T12:25:00Z,Hagebro,2024,9.4
2020-11-05T13:25:00Z,Hagebro,2024,9.4
2020-11-05T14:25:00Z,Hagebro,2024,9.4
2020-11-05T15:25:00Z,Hagebro,2024,9.4
2020-11-05T16:25:00Z,Hagebro,2024,9.3
2020-11-05T17:25:00Z,Hagebro,2024,9.3
2020-11-05T18:25:00Z,Hagebro,2024,9.3
2020-11-05T19:25:00Z,Hagebro,2024,9.2
2020-11-05T20:25:00Z,Hagebro,2024,9.2
2020-11-05T21:25:00Z,Hagebro,2024,9.2
2020-11-05T22:25:00Z,Hagebro,2024,9.2
2020-11-05T23:25:00Z,Hagebro,2024,9.2
2020-11-06T00:25:00Z,Hagebro,2024,9.1
2020-11-06T01:25:00Z,Hagebro,2024,9.1
2020-11-06T02:25:00Z,Hagebro,2024,9.1
2020-11-06T03:25:00Z,Hagebro,2024,9.1
2020-11-06T04:25:00Z,Hagebro,2024,9
2020-11-06T05:25:00Z,Hagebro,2024,9
2020-11-06T06:25:00Z,Hagebro,2024,9
2020-11-06T07:25:00Z,Hagebro,2024,8.9
2020-11-06T08:25:00Z,Hagebro,2024,8.9
2020-11-06T09:25:00Z,Hagebro,2024,8.9
2020-11-06T10:25:00Z,Hagebro,2024,8.9
2020-11-06T11:25:00Z,Hagebro,2024,8.9
2020-11-06T12:25:00Z,Hagebro,2024,9
2020-11-06T13:25:00Z,Hagebro,2024,9
2020-11-06T14:25:00Z,Hagebro,2024,9
2020-11-06T15:25:00Z,Hagebro,2024,9
2020-11-06T16:25:00Z,Hagebro,2024,9
2020-11-06T17:25:00Z,Hagebro,2024,9
2020-11-06T18:25:00Z,Hagebro,2024,8.9
2020-11-06T19:25:00Z,Hagebro,2024,8.9
2020-11-06T20:25:00Z,Hagebro,2024,8.9
2020-11-06T21:25:00Z,Hagebro,2024,8.9
2020-11-06T22:25:00Z,Hagebro,2024,8.9
2020-11-06T23:25:00Z,Hagebro,2024,8.9
2020-11-07T00:25:00Z,Hagebro,2024,8.9
2020-11-07T01:25:00Z,Hagebro,2024,8.9
2020-11-07T02:25:00Z,Hagebro,2024,8.9
2020-11-07T03:25:00Z,Hagebro,2024,8.9
2020-11-07T04:25:00Z,Hagebro,2024,8.9
2020-11-07T05:25:00Z,Hagebro,2024,8.9
2020-11-07T06:25:00Z,Hagebro,2024,8.9
2020-11-07T07:25:00Z,Hagebro,2024,8.9
2020-11-07T08:25:00Z,Hagebro,2024,8.9
2020-11-07T09:25:00Z,Hagebro,2024,8.9
2020-11-07T10:25:00Z,Hagebro,2024,9
2020-11-07T11:25:00Z,Hagebro,2024,9
2020-11-07T12:25:00Z,Hagebro,2024,9.1
2020-11-07T13:25:00Z,Hagebro,2024,9.1
2020-11-07T14:25:00Z,Hagebro,2024,9.2
2020-11-07T15:25:00Z,Hagebro,2024,9.2
2020-11-07T16:25:00Z,Hagebro,2024,9.2
2020-11-07T17:25:00Z,Hagebro,2024,9.2
2020-11-07T18:25:00Z,Hagebro,2024,9.2
2020-11-07T19:25:00Z,Hagebro,2024,9.2
