Dato,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,Port 7,Port 8,Port 9,Port 10,Port 11,Port 12,Port 13,Port 14,Hændelse
2011-09-25T02:34:00Z,NA,NA,NA,5,NA,5,5,5,5,5,5,5,NA,5,Udstrøm
2011-09-25T07:22:00Z,NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,0,Besejling
2011-09-25T15:26:00Z,NA,NA,NA,5,NA,5,5,5,5,5,5,5,NA,5,Udstrøm
2011-09-25T22:10:00Z,NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,0,Udstrøm slut
2011-09-26T04:09:00Z,NA,NA,NA,5,NA,5,5,5,5,5,5,5,NA,5,Udstrøm
2011-09-26T04:17:00Z,NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,0,Besejling
2011-09-26T04:59:00Z,NA,NA,NA,5,NA,5,5,5,NA,5,5,5,NA,5,Udstrøm
2011-09-26T09:16:00Z,NA,NA,NA,0,NA,0,0,0,NA,0,0,0,NA,0,Udstrøm slut
2011-09-26T16:07:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-26T16:32:00Z,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,Besejling
2011-09-26T17:03:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-26T19:10:00Z,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,Besejling
2011-09-27T19:44:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,Udstrøm
2011-09-27T20:39:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Udstrøm
2011-09-27T22:35:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,Udstrøm slut
2011-09-27T22:36:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Udstrøm slut
