dates;flow
2020-01-31T00:00:00Z;  21
2020-01-31T00:30:00Z;  19
2020-01-31T01:00:00Z;  24
2020-01-31T01:30:00Z;  17
2020-01-31T02:00:00Z;  29
2020-01-31T02:30:00Z;  33
2020-01-31T03:00:00Z;  32
2020-01-31T03:30:00Z;  39
2020-01-31T04:00:00Z;  38
2020-01-31T04:30:00Z;  40
2020-01-31T05:00:00Z;  43
2020-01-31T05:30:00Z;  43
2020-01-31T06:00:00Z;   0
2020-01-31T06:30:00Z;   0
2020-01-31T07:00:00Z;   0
2020-01-31T07:30:00Z;   0
2020-01-31T08:00:00Z;   0
2020-01-31T08:30:00Z;   0
2020-01-31T09:00:00Z;  32
2020-01-31T09:30:00Z;  29
2020-01-31T10:00:00Z;  28
2020-01-31T10:30:00Z;  23
2020-01-31T11:00:00Z;  23
2020-01-31T11:30:00Z;  20
2020-01-31T12:00:00Z;  24
2020-01-31T12:30:00Z;  25
2020-01-31T13:00:00Z;  26
2020-01-31T13:30:00Z;  22
2020-01-31T14:00:00Z;  23
2020-01-31T14:30:00Z;  29
2020-01-31T15:00:00Z;  31
2020-01-31T15:30:00Z;  32
2020-01-31T16:00:00Z;  35
2020-01-31T16:30:00Z;  40
2020-01-31T17:00:00Z;  42
2020-01-31T17:30:00Z;   0
2020-01-31T18:00:00Z;   0
2020-01-31T18:30:00Z;   0
2020-01-31T19:00:00Z;   0
2020-01-31T19:30:00Z;   0
2020-01-31T20:00:00Z;   0
2020-01-31T20:30:00Z;   0
2020-01-31T21:00:00Z;   0
2020-01-31T21:30:00Z;   0
2020-01-31T22:00:00Z;   0
2020-01-31T22:30:00Z;   0
2020-01-31T23:00:00Z;   0
2020-01-31T23:30:00Z;   0
2020-02-01T00:00:00Z;   0
2020-02-01T00:30:00Z;   0
2020-02-01T01:00:00Z;   0
2020-02-01T01:30:00Z;   0
2020-02-01T02:00:00Z;  24
2020-02-01T02:30:00Z;  31
2020-02-01T03:00:00Z;  31
2020-02-01T03:30:00Z;  32
2020-02-01T04:00:00Z;  33
2020-02-01T04:30:00Z;  29
2020-02-01T05:00:00Z;  38
2020-02-01T05:30:00Z;  37
2020-02-01T06:00:00Z;  39
2020-02-01T06:30:00Z;  36
2020-02-01T07:00:00Z;   0
2020-02-01T07:30:00Z;   0
2020-02-01T08:00:00Z;   0
2020-02-01T08:30:00Z;   0
2020-02-01T09:00:00Z;  27
2020-02-01T09:30:00Z;  23
2020-02-01T10:00:00Z;  18
2020-02-01T10:30:00Z;  13
2020-02-01T11:00:00Z;-157
2020-02-01T11:30:00Z;-276
2020-02-01T12:00:00Z;-276
2020-02-01T12:30:00Z;-224
2020-02-01T13:00:00Z;  42
2020-02-01T13:30:00Z; 192
2020-02-01T14:00:00Z;  13
2020-02-01T14:30:00Z;  11
2020-02-01T15:00:00Z;  15
2020-02-01T15:30:00Z;  21
2020-02-01T16:00:00Z;  25
2020-02-01T16:30:00Z;  31
2020-02-01T17:00:00Z;  36
2020-02-01T17:30:00Z;   0
2020-02-01T18:00:00Z;   0
2020-02-01T18:30:00Z;   0
2020-02-01T19:00:00Z;   0
2020-02-01T19:30:00Z;   0
2020-02-01T20:00:00Z;   0
2020-02-01T20:30:00Z;   0
2020-02-01T21:00:00Z;   0
2020-02-01T21:30:00Z;   0
2020-02-01T22:00:00Z;   0
2020-02-01T22:30:00Z;   0
2020-02-01T23:00:00Z;   0
2020-02-01T23:30:00Z;   0
2020-02-02T00:00:00Z;   0
2020-02-02T00:30:00Z;   0
2020-02-02T01:00:00Z;   0
2020-02-02T01:30:00Z;   0
2020-02-02T02:00:00Z;   0
2020-02-02T02:30:00Z;   0
2020-02-02T03:00:00Z;   0
2020-02-02T03:30:00Z;   0
2020-02-02T04:00:00Z;   0
2020-02-02T04:30:00Z;   0
2020-02-02T05:00:00Z;   0
2020-02-02T05:30:00Z;   0
2020-02-02T06:00:00Z;   0
2020-02-02T06:30:00Z;   0
2020-02-02T07:00:00Z;   0
2020-02-02T07:30:00Z;   0
2020-02-02T08:00:00Z;   0
2020-02-02T08:30:00Z;   0
2020-02-02T09:00:00Z;   0
2020-02-02T09:30:00Z;  35
2020-02-02T10:00:00Z;  32
2020-02-02T10:30:00Z;  26
2020-02-02T11:00:00Z;  18
2020-02-02T11:30:00Z;   7
2020-02-02T12:00:00Z;-193
2020-02-02T12:30:00Z;-251
2020-02-02T13:00:00Z;-298
2020-02-02T13:30:00Z;-224
2020-02-02T14:00:00Z; -40
2020-02-02T14:30:00Z;   0
2020-02-02T15:00:00Z;   0
2020-02-02T15:30:00Z;-125
2020-02-02T16:00:00Z;-298
2020-02-02T16:30:00Z;-298
2020-02-02T17:00:00Z;-276
2020-02-02T17:30:00Z;-193
2020-02-02T18:00:00Z;  42
2020-02-02T18:30:00Z;  17
2020-02-02T19:00:00Z;  20
2020-02-02T19:30:00Z;  20
2020-02-02T20:00:00Z;  20
2020-02-02T20:30:00Z;  18
2020-02-02T21:00:00Z;  15
2020-02-02T21:30:00Z;-119
2020-02-02T22:00:00Z;-319
2020-02-02T22:30:00Z;-424
2020-02-02T23:00:00Z;-494
2020-02-02T23:30:00Z;-507
2020-02-03T00:00:00Z;-532
2020-02-03T00:30:00Z;-544
2020-02-03T01:00:00Z;-544
2020-02-03T01:30:00Z;-481
2020-02-03T02:00:00Z;-467
2020-02-03T02:30:00Z;-453
2020-02-03T03:00:00Z;-424
2020-02-03T03:30:00Z;-408
2020-02-03T04:00:00Z;-357
2020-02-03T04:30:00Z;-339
2020-02-03T05:00:00Z;-224
2020-02-03T05:30:00Z; 107
2020-02-03T06:00:00Z;  15
2020-02-03T06:30:00Z;   0
2020-02-03T07:00:00Z;   0
2020-02-03T07:30:00Z;   0
2020-02-03T08:00:00Z;   0
2020-02-03T08:30:00Z;   0
2020-02-03T09:00:00Z;   0
2020-02-03T09:30:00Z;   0
2020-02-03T10:00:00Z;   0
2020-02-03T10:30:00Z;   0
2020-02-03T11:00:00Z;   0
2020-02-03T11:30:00Z;   0
2020-02-03T12:00:00Z;   0
2020-02-03T12:30:00Z;   0
2020-02-03T13:00:00Z;   0
2020-02-03T13:30:00Z;   0
2020-02-03T14:00:00Z;   0
2020-02-03T14:30:00Z;   0
2020-02-03T15:00:00Z;   0
2020-02-03T15:30:00Z;   0
2020-02-03T16:00:00Z;   0
2020-02-03T16:30:00Z;   0
2020-02-03T17:00:00Z;   0
2020-02-03T17:30:00Z;   0
2020-02-03T18:00:00Z;   0
2020-02-03T18:30:00Z;   0
2020-02-03T19:00:00Z;   0
2020-02-03T19:30:00Z;   0
2020-02-03T20:00:00Z;   0
2020-02-03T20:30:00Z;   0
2020-02-03T21:00:00Z;   0
2020-02-03T21:30:00Z;   0
2020-02-03T22:00:00Z;   0
2020-02-03T22:30:00Z;   0
2020-02-03T23:00:00Z;   0
2020-02-03T23:30:00Z;   0
2020-02-04T00:00:00Z;   0
2020-02-04T00:30:00Z;   0
2020-02-04T01:00:00Z;   0
2020-02-04T01:30:00Z;   0
2020-02-04T02:00:00Z;   0
2020-02-04T02:30:00Z;  12
2020-02-04T03:00:00Z;  22
2020-02-04T03:30:00Z;  22
2020-02-04T04:00:00Z;  21
2020-02-04T04:30:00Z;  27
2020-02-04T05:00:00Z;  28
2020-02-04T05:30:00Z;  29
2020-02-04T06:00:00Z;  32
2020-02-04T06:30:00Z;  33
2020-02-04T07:00:00Z;  39
2020-02-04T07:30:00Z;  39
2020-02-04T08:00:00Z;  39
2020-02-04T08:30:00Z;  42
2020-02-04T09:00:00Z;  41
2020-02-04T09:30:00Z;  42
2020-02-04T10:00:00Z;  41
2020-02-04T10:30:00Z;  39
2020-02-04T11:00:00Z;  37
2020-02-04T11:30:00Z;  37
2020-02-04T12:00:00Z;  34
2020-02-04T12:30:00Z;  31
2020-02-04T13:00:00Z;  31
2020-02-04T13:30:00Z;  30
2020-02-04T14:00:00Z;  25
2020-02-04T14:30:00Z;  28
2020-02-04T15:00:00Z;  25
2020-02-04T15:30:00Z;  18
2020-02-04T16:00:00Z;   0
2020-02-04T16:30:00Z;   0
2020-02-04T17:00:00Z;   0
2020-02-04T17:30:00Z;   0
2020-02-04T18:00:00Z;   0
2020-02-04T18:30:00Z;   0
2020-02-04T19:00:00Z;   0
2020-02-04T19:30:00Z;   0
2020-02-04T20:00:00Z;   0
2020-02-04T20:30:00Z;   0
2020-02-04T21:00:00Z;   0
2020-02-04T21:30:00Z;   0
2020-02-04T22:00:00Z;   0
2020-02-04T22:30:00Z;   0
2020-02-04T23:00:00Z;   0
2020-02-04T23:30:00Z;   0
2020-02-05T00:00:00Z;   0
2020-02-05T00:30:00Z;-224
2020-02-05T01:00:00Z;-408
2020-02-05T01:30:00Z;-453
2020-02-05T02:00:00Z;-494
2020-02-05T02:30:00Z;-532
2020-02-05T03:00:00Z;-544
2020-02-05T03:30:00Z;-567
2020-02-05T04:00:00Z;-567
2020-02-05T04:30:00Z;-600
2020-02-05T05:30:00Z;   0
2020-02-05T06:00:00Z;   0
2020-02-05T06:30:00Z;   0
2020-02-05T07:00:00Z;   0
2020-02-05T07:30:00Z;   0
2020-02-05T08:00:00Z;   0
2020-02-05T08:30:00Z;   0
2020-02-05T09:00:00Z;   0
2020-02-05T09:30:00Z;   0
2020-02-05T10:00:00Z;   0
2020-02-05T10:30:00Z;   0
2020-02-05T11:00:00Z;   0
2020-02-05T11:30:00Z;   0
2020-02-05T12:00:00Z;   0
2020-02-05T12:30:00Z;   0
2020-02-05T13:00:00Z;   0
2020-02-05T13:30:00Z;   0
2020-02-05T14:00:00Z;   0
2020-02-05T14:30:00Z;   0
2020-02-05T15:00:00Z;   0
2020-02-05T15:30:00Z;   0
2020-02-05T16:00:00Z;   0
2020-02-05T16:30:00Z;   0
2020-02-05T17:00:00Z;   0
2020-02-05T17:30:00Z;   0
2020-02-05T18:00:00Z;   0
2020-02-05T18:30:00Z;   0
2020-02-05T19:00:00Z;   0
2020-02-05T19:30:00Z; -18
2020-02-05T20:00:00Z;-578
2020-02-05T20:30:00Z;-313
2020-02-05T21:00:00Z;   0
2020-02-05T21:30:00Z;   0
2020-02-05T22:00:00Z;-157
2020-02-05T22:30:00Z;-108
2020-02-05T23:00:00Z;   0
2020-02-05T23:30:00Z;   0
2020-02-06T00:00:00Z;-251
2020-02-06T00:30:00Z;-319
2020-02-06T01:00:00Z;-357
2020-02-06T01:30:00Z;-439
2020-02-06T02:00:00Z;-494
2020-02-06T02:30:00Z;-532
2020-02-06T03:00:00Z;-578
2020-02-06T03:30:00Z;-642
2020-02-06T04:00:00Z;-690
2020-02-06T04:30:00Z;-699
2020-02-06T05:00:00Z;   0
2020-02-06T05:30:00Z;   0
2020-02-06T06:00:00Z;   0
2020-02-06T06:30:00Z;   0
2020-02-06T07:00:00Z;   0
2020-02-06T07:30:00Z;   0
2020-02-06T08:00:00Z;   0
2020-02-06T08:30:00Z;   0
2020-02-06T09:00:00Z;   0
2020-02-06T09:30:00Z;   0
2020-02-06T10:00:00Z;   0
2020-02-06T10:30:00Z;  21
2020-02-06T11:00:00Z;  21
2020-02-06T11:30:00Z;  25
2020-02-06T12:00:00Z;  21
2020-02-06T12:30:00Z;  18
2020-02-06T13:00:00Z;  15
2020-02-06T13:30:00Z;  12
2020-02-06T14:00:00Z;  -8
2020-02-06T14:30:00Z; -17
2020-02-06T15:00:00Z;-481
2020-02-06T15:30:00Z;-555
2020-02-06T16:00:00Z;-567
2020-02-06T16:30:00Z;-589
2020-02-06T17:00:00Z;-589
2020-02-06T17:30:00Z;-621
2020-02-06T18:00:00Z;-567
2020-02-06T18:30:00Z;-544
2020-02-06T19:00:00Z;-532
2020-02-06T19:30:00Z;-507
2020-02-06T20:00:00Z;-453
2020-02-06T20:30:00Z;-408
2020-02-06T21:00:00Z;-319
2020-02-06T21:30:00Z;-251
2020-02-06T22:00:00Z;-108
2020-02-06T22:30:00Z;  13
2020-02-06T23:00:00Z;  19
2020-02-06T23:30:00Z;  20
2020-02-07T00:00:00Z;  22
2020-02-07T00:30:00Z;  19
2020-02-07T01:00:00Z;  14
2020-02-07T01:30:00Z;   2
2020-02-07T02:00:00Z;-224
2020-02-07T02:30:00Z;-392
2020-02-07T03:00:00Z;-467
